Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Personal Loan,Credit-Builder Loan,Debt Consolidation Loan,Mortgage Loan,Student Loan,Payday Loan,Auto Loan,Home Equity Loan
March,38.0,Developer,37756.85,1381.0116666666663,4.0,7.0,12.0,3.0,4.0,2.0,8.71,4.0,2.0,1147.62,38.809227726799534,199.0,No,49.7073465799128,183.1889792922449,Low_spent_Large_value_payments,293.127590794509,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
January,34.0,Mechanic,71551.18,5936.598333333332,8.0,3.0,8.0,4.0,12.0,9.0,18.44,5.0,1.0,697.67,36.56448296459283,215.0,Yes,160.20003652789117,106.12318801782844,High_spent_Medium_value_payments,456.8582951513857,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
March,49.0,Developer,40038.58,3358.5483333333336,4.0,3.0,3.0,0.0,4.0,8.0,0.25,4.0,2.0,16.88,29.81407688570777,252.0,No,0.0,106.71630515250817,Low_spent_Large_value_payments,499.1385281808252,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
August,54.0,Developer,37756.85,2632.08,0.0,5.0,10.0,3.0,3.0,7.0,6.19,4.0,2.0,344.4,37.08569552497279,334.0,No,74.63775566449694,142.49170793794485,Low_spent_Small_value_payments,336.07853639755825,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
March,43.0,Musician,105774.57,8540.5475,5.0,5.0,16.0,2.0,25.0,11.0,15.38,4.0,1.0,582.13,25.508581614139327,334.0,Yes,148.65553170941206,195.0564795623972,High_spent_Large_value_payments,750.3427387281911,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
March,40.0,Developer,52958.43000000001,4313.2025,8.0,10.0,32.0,8.0,18.0,11.0,-1.2199999999999998,6.0,0.0,1677.29,35.15847700107547,148.0,Yes,69.46323081444827,261.87628773834723,Low_spent_Small_value_payments,176.8558322146226,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
May,24.0,Doctor,17366.08,1365.1733333333334,6.0,6.0,14.0,1.0,28.0,9.0,15.53,4.0,1.0,133.38,35.40441682101948,228.0,Yes,12.974549316766886,133.32078886362714,Low_spent_Small_value_payments,280.2219951529393,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
March,36.0,Lawyer,98087.76,7890.98,4.0,4.0,8.0,4.0,7.0,8.0,14.9,8.0,1.0,55.46,31.466363492219468,147.0,No,184.2559986386516,133.72800399760985,Low_spent_Small_value_payments,29.58606950368392,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
March,32.0,Writer,42326.99,3577.249166666666,0.0,2.0,4.0,4.0,4.0,13.0,5.97,4.0,2.0,1233.0,28.06606792299632,219.0,No,116.61871979482096,332.12918780370813,Low_spent_Small_value_payments,198.97700906813762,2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
May,54.0,Writer,87438.03,7354.5025,6.0,3.0,10.0,3.0,9.0,17.0,4.15,6.0,1.0,78.28,32.6005617525037,218.0,Yes,176.14265762318692,133.72800399760985,Low_spent_Small_value_payments,122.04805844523185,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
April,42.0,Teacher,103353.06,8527.755,3.0,3.0,6.0,1.0,4.0,9.0,3.11,2.0,2.0,1374.56,23.170844581879077,310.0,No,64.00168567310892,133.72800399760985,Low_spent_Small_value_payments,34.900202755879604,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
July,31.0,Media_Manager,17004.86,1231.0716666666667,10.0,10.0,14.0,2.0,25.0,18.0,3.49,12.0,0.0,1261.59,24.310954946892696,155.0,Yes,25.022768764738228,43.26320677641509,Low_spent_Medium_value_payments,334.8211911255133,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
August,47.0,Architect,119848.77,10224.3975,5.0,2.0,10.0,1.0,9.0,10.0,5.75,6.0,2.0,1049.14,31.50488336659894,218.0,No,55.85943763032421,137.0199051678138,High_spent_Large_value_payments,334.044059374466,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,21.0,Musician,37756.85,3097.31625,5.0,5.0,8.0,2.0,1.0,-1.0,8.39,4.0,2.0,533.48,30.54146702834021,394.0,No,139.12293664557043,133.72800399760985,Low_spent_Small_value_payments,334.044059374466,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
February,24.0,Journalist,82135.84,6699.653333333333,10.0,10.0,29.0,6.0,48.0,23.0,18.89,11.0,2.0,1178.69,25.357400294443348,48.0,Yes,214.8366986098016,159.75367766670902,High_spent_Medium_value_payments,545.3749570568226,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
August,15.0,Engineer,21642.16,6699.653333333333,8.0,7.0,16.0,3.0,24.0,20.0,11.29,7.0,1.0,1058.31,32.96516755442763,167.0,No,33.058791634853925,145.6838182817118,Low_spent_Small_value_payments,316.1087234167676,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
June,35.0,Media_Manager,39369.68,3044.806666666667,8.0,7.0,33.0,7.0,21.0,18.0,22.88,15.0,0.0,3290.93,23.03414068938353,108.0,No,152.55432200545417,58.048659608443366,High_spent_Medium_value_payments,343.87768505276915,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
July,22.0,Media_Manager,108680.19,9282.6825,8.0,7.0,5.0,1.0,13.0,10.0,12.26,5.0,1.0,1439.29,32.02624872327009,108.0,No,60.640898008109744,124.1900863263573,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
July,46.0,Journalist,42331.14,3280.595,6.0,5.0,9.0,2.0,20.0,10.0,16.48,11.0,1.0,1288.78,34.77679485240094,183.0,Yes,48.32052040804102,103.90662776263537,Low_spent_Medium_value_payments,455.83235182932367,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
March,51.0,Lawyer,40639.06,3572.588333333333,1.0,1.0,14.0,0.0,0.0,1.0,2.5,4.0,2.0,853.92,24.705303543748283,280.0,No,0.0,236.96109699259569,High_spent_Small_value_payments,380.29773634073763,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
August,40.0,Musician,104273.04,8980.42,1.0,7.0,6.0,2.0,2.0,1.0,3.74,4.0,2.0,658.75,35.77519924682001,274.0,No,100.62891625163314,131.2816427524016,High_spent_Large_value_payments,334.044059374466,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
April,32.0,Writer,16489.74,1075.4716312343628,4.0,3.0,10.0,3.0,18.0,15.0,16.18,5.0,1.0,1367.75,34.767125909315254,146.0,Yes,103.52151006545704,40.544100593076614,Low_spent_Small_value_payments,335.6222581071038,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
February,19.0,Doctor,19949.34,1075.4716312343628,8.0,7.0,20.0,6.0,53.0,22.0,22.83,8.0,0.0,3321.79,23.968159814639648,146.0,Yes,63.14272761331768,127.14001931338188,Low_spent_Small_value_payments,237.56175307330045,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
August,26.0,Mechanic,77418.52,6450.543333333334,7.0,9.0,20.0,7.0,38.0,23.0,20.05,9.0,0.0,3962.08,23.412148890983463,143.0,Yes,339.0310322831334,180.42204314859828,Low_spent_Small_value_payments,405.6012579016018,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
July,33.0,Architect,37756.85,3097.31625,3.0,5.0,2.0,0.0,4.0,3.0,9.13,1.0,2.0,29.82,43.93669082022934,196.0,No,0.0,189.12686609977885,High_spent_Medium_value_payments,334.044059374466,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
May,26.0,Architect,26976.43,2525.035833333333,7.0,7.0,7.0,4.0,32.0,10.0,15.26,3.0,1.0,426.03,36.83019992645645,302.0,Yes,62.53029961087679,37.94000919407337,High_spent_Medium_value_payments,402.0332745283832,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
March,43.0,Developer,20974.05,2525.035833333333,7.0,8.0,27.0,6.0,38.0,10.0,14.54,12.0,1.0,1460.23,27.66100460986323,150.0,Yes,83.76324659787207,129.27938669527953,Low_spent_Small_value_payments,268.4411167068484,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
February,36.0,Architect,52979.4,4366.95,9.0,8.0,25.0,6.0,38.0,15.0,18.53,9.0,0.0,2861.75,33.137501362766216,150.0,Yes,252.90206563303715,365.8202163918098,Low_spent_Large_value_payments,87.97271797515305,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
July,19.0,Manager,43430.88,3418.24,6.0,4.0,12.0,1.0,20.0,16.0,8.54,4.0,0.0,1288.94,33.29825329163272,217.0,No,20.440817617551264,78.59538525450282,High_spent_Large_value_payments,482.787797127946,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,16.0,Media_Manager,57407.04,4570.92,3.0,3.0,18.0,4.0,24.0,12.0,9.64,7.0,1.0,895.05,30.39443828706648,191.0,Yes,128.53068770833835,133.72800399760985,Low_spent_Medium_value_payments,167.18329013238605,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
January,36.0,Writer,76082.25,6082.1875,6.0,5.0,13.0,3.0,7.0,17.0,7.8,4.0,1.0,847.11,41.10993523497051,389.0,Yes,186.464782863576,91.63093335584013,Low_spent_Small_value_payments,570.1230337805839,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
March,18.0,Engineer,15580.41,1048.3675,9.0,9.0,16.0,9.0,18.0,16.0,26.57,13.0,0.0,1178.69,38.59304680082051,71.0,Yes,112.513721323882,107.87399625018759,Low_spent_Medium_value_payments,164.44903242593045,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
May,22.0,Entrepreneur,14665.31,1230.1091666666666,6.0,6.0,25.0,6.0,37.0,18.0,2.7,6.0,0.0,1178.69,35.4344700279041,68.0,Yes,44.18837100071423,34.99883335990952,Low_spent_Large_value_payments,313.82371230604286,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
August,33.0,Musician,134341.05,11116.0875,1.0,3.0,9.0,2.0,7.0,7.0,5.8599999999999985,4.0,2.0,408.12,30.337336820633716,188.0,No,186.9434011182671,281.81476681353706,High_spent_Large_value_payments,334.044059374466,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
April,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16.0,11.0,9.13,4.0,1.0,1296.64,42.944681681740505,354.0,Yes,0.0,120.90755376622221,High_spent_Large_value_payments,334.044059374466,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
January,42.0,Lawyer,53876.88,4566.74,8.0,7.0,19.0,5.0,18.0,12.0,19.96,10.0,1.0,1341.25,33.4250334730228,49.0,Yes,168.70970757634092,122.26885884490729,High_spent_Medium_value_payments,415.6954335787518,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
April,31.0,Developer,20022.29,1607.5241666666668,7.0,6.0,21.0,7.0,29.0,19.0,17.4,7.0,0.0,1178.69,23.138921984949192,49.0,Yes,100.84400410402928,152.91506528243568,Low_spent_Small_value_payments,196.99334728020176,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
July,30.0,Doctor,39353.8,3201.4833333333336,6.0,6.0,18.0,6.0,41.0,14.0,9.38,6.0,0.0,1178.69,33.565209457686464,25.0,Yes,195.6607339076741,130.6868758419699,High_spent_Medium_value_payments,243.80072358368938,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
April,25.0,Lawyer,37756.85,3097.31625,1.0,1.0,11.0,2.0,10.0,14.0,4.51,5.0,2.0,1328.9,34.25945823719037,319.0,No,196.0304652758236,162.23135611417638,High_spent_Large_value_payments,334.044059374466,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
March,42.0,Architect,29062.92,2318.91,6.0,3.0,8.0,1.0,27.0,15.0,13.94,4.0,1.0,50.19,38.507680324092114,243.0,Yes,14.516223126712546,32.95495226234541,High_spent_Large_value_payments,424.419824610942,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
June,25.0,Mechanic,58048.82,4780.401666666667,3.0,3.0,1.0,2.0,13.0,5.0,0.15000000000000036,3.0,2.0,1020.94,31.34800927743957,315.0,No,93.47780407474669,194.43029616625918,High_spent_Medium_value_payments,440.1320664256608,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
March,27.0,Doctor,81864.56,6882.046666666666,8.0,5.0,11.0,2.0,6.0,19.0,16.07,5.0,1.0,1210.87,37.40113355310992,241.0,Yes,74.80770126323384,245.08470461112148,High_spent_Small_value_payments,628.3122607923112,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
April,39.0,Teacher,14930.95,969.2458333333334,3.0,4.0,3.0,4.0,12.0,8.0,17.490000000000002,1.0,2.0,1326.75,22.24147303545135,202.0,No,25.21902008763336,78.61713456170237,Low_spent_Small_value_payments,283.0884286839976,2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
February,49.0,Entrepreneur,34689.26,2608.771666666667,7.0,3.0,18.0,0.0,17.0,15.0,7.55,1.0,1.0,430.6,27.111571648850173,323.0,Yes,0.0,67.78985818257406,High_spent_Medium_value_payments,443.0873084840927,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
June,15.0,Journalist,19357.89,1364.1575,8.0,10.0,15.0,6.0,37.0,23.0,24.46,9.0,0.0,4064.81,35.69990939238204,132.0,Yes,90.72351539307294,98.3245373639948,Low_spent_Large_value_payments,217.3676972429322,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
March,43.0,Entrepreneur,17286.51,1308.5424999999998,3.0,3.0,17.0,1.0,4.0,17.0,9.71,3.0,1.0,757.38,30.922891789765373,286.0,No,12.24112015720511,94.96215999428284,Low_spent_Small_value_payments,313.6509698485121,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
April,43.0,Teacher,115379.64,9722.97,6.0,4.0,9.0,0.0,8.0,12.0,8.97,0.0,1.0,364.66,37.75247544265408,342.0,No,0.0,133.72800399760985,Low_spent_Small_value_payments,158.7246610635243,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
May,32.0,Journalist,34153.67,2702.1391666666664,6.0,7.0,17.0,2.0,19.0,14.0,6.94,4.0,1.0,226.31,30.75779249930835,225.0,No,50.052619019361934,158.64964336165113,High_spent_Small_value_payments,321.51165428565355,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August,44.0,Media_Manager,74538.87,6280.572499999998,8.0,5.0,12.0,0.0,6.0,11.0,7.57,4.0,1.0,1433.43,27.28280141797563,267.0,No,0.0,282.9649635937617,Low_spent_Medium_value_payments,625.0922864062383,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,24.0,Developer,20616.95,1476.0791666666669,10.0,6.0,15.0,5.0,34.0,24.0,16.89,6.0,0.0,1776.76,25.37930855922255,89.0,Yes,48.09561340441202,50.43274053297142,Low_spent_Small_value_payments,339.07956272928317,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
May,33.0,Journalist,13961.155,1322.4295833333333,6.0,3.0,20.0,4.0,15.0,14.0,7.73,0.0,1.0,1406.02,31.9924687419468,335.0,No,40.17141518726413,125.8473417972008,Low_spent_Small_value_payments,256.2242013488684,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
June,22.0,Lawyer,25659.34,2238.278333333333,5.0,3.0,15.0,4.0,27.0,16.0,8.190000000000001,2.0,1.0,1323.93,26.479280373425784,303.0,No,54.98197115275013,125.3763345755916,Low_spent_Small_value_payments,303.4695276049916,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
May,48.0,Manager,71421.15,6118.7625,7.0,7.0,19.0,0.0,8.0,10.0,11.3,0.0,1.0,566.98,28.537616028782576,211.0,No,0.0,471.320410890235,Low_spent_Medium_value_payments,420.5558391097649,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
March,33.0,Lawyer,37756.85,9419.2,4.0,3.0,14.0,3.0,16.0,16.0,1.03,1.0,1.0,586.89,34.491171789821976,255.0,No,178.18706342651367,188.84431494846402,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
March,49.0,Architect,36377.09,3146.424166666666,1.0,5.0,3.0,4.0,11.0,-2.0,9.42,3.0,2.0,822.54,35.81911792796427,189.0,No,117.27948408848464,128.9701879827668,High_spent_Medium_value_payments,318.3927445954152,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
June,22.0,Journalist,83358.3,6896.5250000000015,5.0,3.0,5.0,3.0,6.0,4.0,2.66,7.0,2.0,727.88,37.00534728512022,368.0,No,69.46323081444827,346.8378121586564,Low_spent_Medium_value_payments,452.8786830600963,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
March,36.0,Manager,15509.88,1157.49,9.0,6.0,23.0,6.0,54.0,20.0,18.16,10.0,1.0,2664.21,36.86810198101253,124.0,Yes,74.0411329309988,36.083819258383016,High_spent_Medium_value_payments,255.62404781061818,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
July,53.0,Scientist,64752.4,6826.483333333334,3.0,3.0,5.0,3.0,7.0,20.0,18.16,0.0,1.0,1022.8,40.476483273567794,328.0,No,115.34128688234104,60.45698634920193,High_spent_Medium_value_payments,639.4050601017905,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
February,34.0,Lawyer,82277.8,6826.483333333334,8.0,9.0,32.0,7.0,18.0,16.0,17.71,7.0,0.0,2748.82,36.90386879274203,51.0,Yes,69.46323081444827,115.71831285348038,High_spent_Large_value_payments,327.7647181671183,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
April,31.0,Journalist,19215.26,1353.2716666666663,4.0,6.0,7.0,2.0,5.0,15.0,17.15,8.0,1.0,1895.14,34.77224388253644,163.0,Yes,20.05386144790358,63.669324400490275,Low_spent_Small_value_payments,341.6039808182728,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
January,50.0,Journalist,113630.4,1353.2716666666663,4.0,5.0,5.0,0.0,7.0,10.0,9.8,3.0,2.0,115.38,29.457021943196413,323.0,No,0.0,63.669324400490275,High_spent_Medium_value_payments,334.044059374466,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
March,33.0,Engineer,14688.84,1144.07,4.0,6.0,18.0,1.0,15.0,15.0,8.56,4.0,1.0,1459.05,34.90683022266605,241.0,No,8.439815424520496,133.72800399760985,Low_spent_Small_value_payments,285.4886837361167,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
July,35.0,Manager,19294.46,1392.871666666667,10.0,5.0,22.0,8.0,45.0,20.0,2.06,9.0,0.0,2233.25,38.89316596752805,232.0,Yes,86.26888578572189,132.65635726951638,Low_spent_Small_value_payments,210.3619236114284,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
February,38.0,Lawyer,8578.89,465.9074999999999,8.0,10.0,15.0,8.0,18.0,17.0,8.96,12.0,0.0,1178.69,33.11086525908482,94.0,Yes,46.26136087164012,43.246340024420526,Low_spent_Small_value_payments,247.08304910393932,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
May,33.0,Writer,53699.7,4382.974999999999,8.0,5.0,13.0,3.0,18.0,12.0,7.6,0.0,1.0,1422.8,37.38946688473491,323.0,No,0.0,302.50051988094845,Low_spent_Medium_value_payments,415.7969801190515,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
April,41.0,Mechanic,58871.28,5042.94,4.0,3.0,9.0,4.0,-3.0,11.0,8.73,4.0,2.0,1465.8,27.494661829473134,394.0,No,167.0765791621539,151.67930086049108,High_spent_Small_value_payments,445.53811997735494,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
May,37.0,Media_Manager,14620.51,1176.3758333333333,9.0,7.0,29.0,7.0,29.0,13.0,9.4,12.0,2.0,2482.1,28.732216592607564,167.0,Yes,82.51268340525161,48.40532188825613,High_spent_Medium_value_payments,236.7195780398256,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
February,37.0,Developer,18507.35,1770.2791666666665,10.0,6.0,33.0,8.0,34.0,19.0,21.65,12.0,0.0,1178.69,38.60517132299965,130.0,Yes,65.43399854947093,85.80200856841084,Low_spent_Small_value_payments,315.79190954878493,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
August,33.0,Lawyer,35104.32,1770.2791666666665,3.0,5.0,10.0,4.0,29.0,7.0,7.85,7.0,2.0,1166.23,39.09726346928361,290.0,No,75.22465523908845,260.67158809986506,Low_spent_Small_value_payments,221.03975666104648,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
February,52.0,Teacher,99868.83,8332.4025,2.0,3.0,2.0,3.0,5.0,11.0,9.11,1.0,2.0,693.76,37.82542325811363,264.0,No,146.70125255982038,504.2438080791728,High_spent_Small_value_payments,442.29518936100686,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
February,40.0,Scientist,90662.43,7701.2025,8.0,5.0,8.0,6.0,24.0,13.0,13.76,8.0,1.0,208.35,39.22036948883723,136.0,Yes,267.18391249621243,219.86627341573998,High_spent_Medium_value_payments,533.0700640880477,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
August,23.0,Entrepreneur,80411.04000000001,6694.920000000001,8.0,4.0,11.0,1.0,14.0,10.0,5.71,5.0,2.0,1413.55,31.762200295090334,190.0,No,65.7390498502761,159.83622443291358,High_spent_Large_value_payments,683.9167257168106,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
May,43.0,Writer,77004.92,6233.076666666668,10.0,5.0,22.0,6.0,43.0,15.0,25.82,9.0,0.0,2511.6,38.17759836126733,190.0,Yes,69.46323081444827,208.57807469144558,High_spent_Medium_value_payments,294.08246969394605,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
July,48.0,Doctor,92699.31,7927.9425,3.0,3.0,9.0,4.0,3.0,0.0,6.33,3.0,2.0,46.93,32.98895417621037,218.0,No,217.75806385268416,420.2858536474642,Low_spent_Large_value_payments,424.7503324998517,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
June,39.0,Lawyer,56157.03,4437.710368200924,8.0,9.0,31.0,5.0,38.0,21.0,20.24,13.0,0.0,3403.79,25.87385104818693,153.0,Yes,69.46323081444827,73.71964336022569,High_spent_Medium_value_payments,470.8327687296346,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
March,16.0,Scientist,9670.15,733.8458333333333,8.0,6.0,19.0,5.0,54.0,23.0,3.06,7.0,0.0,3566.81,29.91394282479795,52.0,Yes,35.31974339313966,133.72800399760985,Low_spent_Small_value_payments,281.3827838276423,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
August,33.0,Mechanic,136597.12,11166.093333333332,5.0,4.0,17.0,4.0,28.0,14.0,4.35,0.0,1.0,843.65,30.032529471356916,364.0,Yes,252.10507082904616,549.5042245168187,Low_spent_Medium_value_payments,595.0000379874685,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
May,28.0,Manager,29249.41,2247.4508333333333,8.0,4.0,12.0,3.0,26.0,16.0,18.76,7.0,2.0,439.34,25.86164066452203,140.0,Yes,66.7806953314336,158.33812547032485,Low_spent_Medium_value_payments,279.6262625315749,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
April,20.0,Media_Manager,30622.73,2247.4508333333333,4.0,2.0,11.0,4.0,12.0,-2.0,4.87,1.0,2.0,383.33,24.26465524020521,355.0,No,225.8448066862273,97.35146251851387,Low_spent_Small_value_payments,376.7024623690405,2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
